sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,row_id
5.1,3.5,1.4,0.2,0,0
4.9,3.0,1.4,0.2,0,1
4.7,3.2,1.3,0.2,0,2
4.6,3.1,1.5,0.2,0,3
5.0,3.6,1.4,0.2,0,4
5.4,3.9,1.7,0.4,0,5
4.6,3.4,1.4,0.3,0,6
5.0,3.4,1.5,0.2,0,7
4.4,2.9,1.4,0.2,0,8
4.9,3.1,1.5,0.1,0,9
5.4,3.7,1.5,0.2,0,10
4.8,3.4,1.6,0.2,0,11
4.8,3.0,1.4,0.1,0,12
4.3,3.0,1.1,0.1,0,13
5.8,4.0,1.2,0.2,0,14
5.7,4.4,1.5,0.4,0,15
5.4,3.9,1.3,0.4,0,16
5.1,3.5,1.4,0.3,0,17
5.7,3.8,1.7,0.3,0,18
5.1,3.8,1.5,0.3,0,19
5.4,3.4,1.7,0.2,0,20
5.1,3.7,1.5,0.4,0,21
4.6,3.6,1.0,0.2,0,22
5.1,3.3,1.7,0.5,0,23
4.8,3.4,1.9,0.2,0,24
5.0,3.0,1.6,0.2,0,25
5.0,3.4,1.6,0.4,0,26
5.2,3.5,1.5,0.2,0,27
5.2,3.4,1.4,0.2,0,28
4.7,3.2,1.6,0.2,0,29
4.8,3.1,1.6,0.2,0,30
5.4,3.4,1.5,0.4,0,31
5.2,4.1,1.5,0.1,0,32
5.5,4.2,1.4,0.2,0,33
4.9,3.1,1.5,0.2,0,34
5.0,3.2,1.2,0.2,0,35
5.5,3.5,1.3,0.2,0,36
4.9,3.6,1.4,0.1,0,37
4.4,3.0,1.3,0.2,0,38
5.1,3.4,1.5,0.2,0,39
5.0,3.5,1.3,0.3,0,40
4.5,2.3,1.3,0.3,0,41
4.4,3.2,1.3,0.2,0,42
5.0,3.5,1.6,0.6,0,43
5.1,3.8,1.9,0.4,0,44
4.8,3.0,1.4,0.3,0,45
5.1,3.8,1.6,0.2,0,46
4.6,3.2,1.4,0.2,0,47
5.3,3.7,1.5,0.2,0,48
5.0,3.3,1.4,0.2,0,49
7.0,3.2,4.7,1.4,1,50
6.4,3.2,4.5,1.5,1,51
6.9,3.1,4.9,1.5,1,52
5.5,2.3,4.0,1.3,1,53
6.5,2.8,4.6,1.5,1,54
5.7,2.8,4.5,1.3,1,55
6.3,3.3,4.7,1.6,1,56
4.9,2.4,3.3,1.0,1,57
6.6,2.9,4.6,1.3,1,58
5.2,2.7,3.9,1.4,1,59
5.0,2.0,3.5,1.0,1,60
5.9,3.0,4.2,1.5,1,61
6.0,2.2,4.0,1.0,1,62
6.1,2.9,4.7,1.4,1,63
5.6,2.9,3.6,1.3,1,64
6.7,3.1,4.4,1.4,1,65
5.6,3.0,4.5,1.5,1,66
5.8,2.7,4.1,1.0,1,67
6.2,2.2,4.5,1.5,1,68
5.6,2.5,3.9,1.1,1,69
5.9,3.2,4.8,1.8,1,70
6.1,2.8,4.0,1.3,1,71
6.3,2.5,4.9,1.5,1,72
6.1,2.8,4.7,1.2,1,73
6.4,2.9,4.3,1.3,1,74
6.6,3.0,4.4,1.4,1,75
6.8,2.8,4.8,1.4,1,76
6.7,3.0,5.0,1.7,1,77
6.0,2.9,4.5,1.5,1,78
5.7,2.6,3.5,1.0,1,79
5.5,2.4,3.8,1.1,1,80
5.5,2.4,3.7,1.0,1,81
5.8,2.7,3.9,1.2,1,82
6.0,2.7,5.1,1.6,1,83
5.4,3.0,4.5,1.5,1,84
6.0,3.4,4.5,1.6,1,85
6.7,3.1,4.7,1.5,1,86
6.3,2.3,4.4,1.3,1,87
5.6,3.0,4.1,1.3,1,88
5.5,2.5,4.0,1.3,1,89
5.5,2.6,4.4,1.2,1,90
6.1,3.0,4.6,1.4,1,91
5.8,2.6,4.0,1.2,1,92
5.0,2.3,3.3,1.0,1,93
5.6,2.7,4.2,1.3,1,94
5.7,3.0,4.2,1.2,1,95
5.7,2.9,4.2,1.3,1,96
6.2,2.9,4.3,1.3,1,97
5.1,2.5,3.0,1.1,1,98
5.7,2.8,4.1,1.3,1,99
6.3,3.3,6.0,2.5,2,100
5.8,2.7,5.1,1.9,2,101
7.1,3.0,5.9,2.1,2,102
6.3,2.9,5.6,1.8,2,103
6.5,3.0,5.8,2.2,2,104
7.6,3.0,6.6,2.1,2,105
4.9,2.5,4.5,1.7,2,106
7.3,2.9,6.3,1.8,2,107
6.7,2.5,5.8,1.8,2,108
7.2,3.6,6.1,2.5,2,109
6.5,3.2,5.1,2.0,2,110
6.4,2.7,5.3,1.9,2,111
6.8,3.0,5.5,2.1,2,112
5.7,2.5,5.0,2.0,2,113
5.8,2.8,5.1,2.4,2,114
6.4,3.2,5.3,2.3,2,115
6.5,3.0,5.5,1.8,2,116
7.7,3.8,6.7,2.2,2,117
7.7,2.6,6.9,2.3,2,118
6.0,2.2,5.0,1.5,2,119
6.9,3.2,5.7,2.3,2,120
5.6,2.8,4.9,2.0,2,121
7.7,2.8,6.7,2.0,2,122
6.3,2.7,4.9,1.8,2,123
6.7,3.3,5.7,2.1,2,124
7.2,3.2,6.0,1.8,2,125
6.2,2.8,4.8,1.8,2,126
6.1,3.0,4.9,1.8,2,127
6.4,2.8,5.6,2.1,2,128
7.2,3.0,5.8,1.6,2,129
7.4,2.8,6.1,1.9,2,130
7.9,3.8,6.4,2.0,2,131
6.4,2.8,5.6,2.2,2,132
6.3,2.8,5.1,1.5,2,133
6.1,2.6,5.6,1.4,2,134
7.7,3.0,6.1,2.3,2,135
6.3,3.4,5.6,2.4,2,136
6.4,3.1,5.5,1.8,2,137
6.0,3.0,4.8,1.8,2,138
6.9,3.1,5.4,2.1,2,139
6.7,3.1,5.6,2.4,2,140
6.9,3.1,5.1,2.3,2,141
5.8,2.7,5.1,1.9,2,142
6.8,3.2,5.9,2.3,2,143
6.7,3.3,5.7,2.5,2,144
6.7,3.0,5.2,2.3,2,145
6.3,2.5,5.0,1.9,2,146
6.5,3.0,5.2,2.0,2,147
6.2,3.4,5.4,2.3,2,148
5.9,3.0,5.1,1.8,2,149
