row_id,split,target
0,train,0
1,train,0
2,train,0
3,train,0
4,train,0
5,validation,0
6,train,0
7,test,0
8,train,0
9,train,0
10,test,0
11,train,0
12,train,0
13,train,0
14,test,0
15,validation,0
16,train,0
17,validation,0
18,test,0
19,train,0
20,test,0
21,train,0
22,test,0
23,train,0
24,validation,0
25,train,0
26,validation,0
27,train,0
28,test,0
29,train,0
30,train,0
31,train,0
32,validation,0
33,validation,0
34,train,0
35,train,0
36,train,0
37,train,0
38,test,0
39,validation,0
40,train,0
41,train,0
42,test,0
43,train,0
44,train,0
45,validation,0
46,train,0
47,validation,0
48,train,0
49,test,0
50,train,1
51,test,1
52,validation,1
53,train,1
54,train,1
55,train,1
56,test,1
57,test,1
58,test,1
59,train,1
60,train,1
61,validation,1
62,train,1
63,test,1
64,train,1
65,train,1
66,train,1
67,train,1
68,train,1
69,test,1
70,validation,1
71,train,1
72,train,1
73,train,1
74,train,1
75,test,1
76,train,1
77,test,1
78,validation,1
79,train,1
80,validation,1
81,validation,1
82,train,1
83,train,1
84,test,1
85,validation,1
86,train,1
87,train,1
88,train,1
89,validation,1
90,validation,1
91,train,1
92,train,1
93,test,1
94,train,1
95,train,1
96,train,1
97,train,1
98,train,1
99,validation,1
100,validation,2
101,train,2
102,train,2
103,train,2
104,test,2
105,train,2
106,train,2
107,test,2
108,train,2
109,train,2
110,train,2
111,train,2
112,train,2
113,train,2
114,train,2
115,validation,2
116,test,2
117,train,2
118,train,2
119,validation,2
120,train,2
121,train,2
122,validation,2
123,train,2
124,train,2
125,train,2
126,train,2
127,test,2
128,train,2
129,validation,2
130,validation,2
131,train,2
132,test,2
133,train,2
134,test,2
135,train,2
136,train,2
137,validation,2
138,test,2
139,train,2
140,test,2
141,test,2
142,validation,2
143,train,2
144,validation,2
145,train,2
146,train,2
147,test,2
148,validation,2
149,train,2
